Company,Country of Origin,Model,Number of cc,Horsepower,Torque,Transmission Type,Drivetrain,Number of Seating,Price (in INR),Year,Looks,Body Type,Engine Type,Number of Cylinders
Benelli,Italy,TRK 502,500 cc,47.6 hp @ 8500 rpm,46 Nm @ 5000 rpm,6-speed manual,Chain drive,2,"Rs. 4,69,000",2017,Adventure,Adventure touring,"Parallel-twin, liquid-cooled",Two
Benelli,Italy,TNT 600i,600 cc,"85 hp @ 11,000 rpm",54 Nm @ 8000 rpm,6-speed manual,Chain drive,2,"Rs. 6,19,000",2018,Sport,Supersport,"Parallel-twin, liquid-cooled",Two
Benelli,Italy,Leoncino 500,500 cc,47.5 hp @ 8500 rpm,46 Nm @ 5000 rpm,6-speed manual,Chain drive,2,"Rs. 5,60,000",2019,Modern,Streetfighter,"Parallel-twin, liquid-cooled",Two
Benelli,Italy,502 C,500 cc,47.5 hp @ 8500 rpm,46 Nm @ 5000 rpm,6-speed manual,Chain drive,2,"Rs. 5,85,000",2020,Retro,Cruiser,"Parallel-twin, liquid-cooled",Two
Benelli,Italy,TNT 600RR,600 cc,"118 hp @ 11,500 rpm","66 Nm @ 10,500 rpm",6-speed manual,Chain drive,2,"Rs. 7,50,000",2022,Sport,Supersport,"Parallel-twin, liquid-cooled",Two
AJS,United Kingdom,Cadwell 125,125,11,10.5 Nm,Manual,Chain,2,"1,499,000",2023,Classic,Roadster,Single,1
AJS,United Kingdom,Tempest Scrambler 125,125,11,10.5 Nm,Manual,Chain,2,"1,549,000",2023,Modern,Scrambler,Single,1
AJS,United Kingdom,Tempest Roadster 125,125,11,10.5 Nm,Manual,Chain,2,"1,499,000",2023,Modern,Roadster,Single,1
Mutt Motorcycles,United Kingdom,Akita 125,125,"11.83 BHP @ 9,000 RPM","10 Nm @ 7,000 RPM",5-speed,Chain Drive,1,3.59 lakhs (ex-showroom),2022,Retro,Cafe Racer,"Single Cylinder, 4-Stroke, Air-cooled",Single
Zontes,China,350R,348,38.2 bhp,32.8 Nm,6-speed manual,Chain drive,2,"3,25,000",2022,Sporty,Naked,"Single-cylinder, liquid-cooled",1
Zontes,China,350T,348,38.2 bhp,32.8 Nm,6-speed manual,Chain drive,2,"3,47,000",2022,Modern,Adventure tourer,"Single-cylinder, liquid-cooled",1
Zontes,China,350X,348,38.2 bhp,32.8 Nm,6-speed manual,Chain drive,2,"3,57,000",2022,Rugged,Street scrambler,"Single-cylinder, liquid-cooled",1
Zontes,China,GK350,348,38.2 bhp,32.8 Nm,6-speed manual,Chain drive,2,"3,67,000",2022,Classic,Cafe racer,"Single-cylinder, liquid-cooled",1
Mutt Motorcycles,UK,Akita,125,11.83 bhp,10 Nm,5-speed manual,Chain,1,Rs. 3.59 lakh,2022,Retro-inspired,Cafe racer,"Single-cylinder, air-cooled",1
Mutt Motorcycles,UK,FSR,250,18.5 bhp,17 Nm,5-speed manual,Chain,1,Rs. 4.99 lakh,2022,Retro-inspired,Scrambler,"Single-cylinder, air-cooled",1
Mutt Motorcycles,UK,GT-SR,250,18.5 bhp,17 Nm,5-speed manual,Chain,1,Rs. 5.49 lakh,2022,Retro-inspired,Cafe racer,"Single-cylinder, air-cooled",1
Mutt Motorcycles,UK,GT-SS,250,20 bhp,18 Nm,5-speed manual,Chain,1,Rs. 5.99 lakh,2022,Retro-inspired,Bobber,"Single-cylinder, air-cooled",1
Mutt Motorcycles,UK,Hilts,250,18.5 bhp,17 Nm,5-speed manual,Chain,1,Rs. 5.29 lakh,2022,Retro-inspired,Tracker,"Single-cylinder, air-cooled",1
Mutt Motorcycles,UK,Mastiff,250,20 bhp,18 Nm,5-speed manual,Chain,1,Rs. 6.49 lakh,2022,Retro-inspired,Cruiser,"Single-cylinder, air-cooled",1
Mutt Motorcycles,UK,Mongrel,250,20 bhp,18 Nm,5-speed manual,Chain,1,Rs. 5.99 lakh,2022,Retro-inspired,Scrambler,"Single-cylinder, air-cooled",1
Mutt Motorcycles,UK,Razorback,250,20 bhp,18 Nm,5-speed manual,Chain,1,Rs. 6.99 lakh,2022,Retro-inspired,Bobber,"Single-cylinder, air-cooled",1
Mutt Motorcycles,UK,RS-13,250,20 bhp,18 Nm,5-speed manual,Chain,1,Rs. 6.79 lakh,2022,Retro-inspired,Cafe racer,"Single-cylinder, air-cooled",1
Mutt Motorcycles,UK,Sabbath,250,20 bhp,18 Nm,5-speed manual,Chain,1,Rs. 7.49 lakh,2022,Retro-inspired,Cruiser,"Single-cylinder, air-cooled",1
Energica Motor Company,Italy,Ego,110 kW,163 hp,195 lb-ft,Automatic,Electric,1,INR 21.15 lakhs,2014,Futuristic,Naked,Electric,1
Energica Motor Company,Italy,Eva Ribelle,110 kW,163 hp,195 lb-ft,Automatic,Electric,2,INR 22.5 lakhs,2019,Modern,Roadster,Electric,1
Energica Motor Company,Italy,EsseEsse9,110 kW,163 hp,195 lb-ft,Automatic,Electric,2,INR 25 lakhs,2019,Retro,Cruiser,Electric,1
Energica Motor Company,Italy,EGO+,126 kW,171 hp,222 lb-ft,Automatic,Electric,1,INR 23.75 lakhs,2022,Futuristic,Naked,Electric,1
Energica Motor Company,Italy,Eva Ribelle RS,126 kW,171 hp,222 lb-ft,Automatic,Electric,2,INR 25.25 lakhs,2022,Modern,Roadster,Electric,1
Moto Morini,Italy,X-Cape,649,60.8 PS,62 Nm,6-speed manual,Parallel twin,2,"7,20,000",2023,Modern,Adventure touring,"Liquid-cooled, DOHC",2
Moto Morini,Italy,Seiemmezzo 6 ½,649,55.7 PS,58 Nm,6-speed manual,Parallel twin,2,"6,89,000",2023,Retro,Naked,"Liquid-cooled, DOHC",2
